1;2;3;4;5;6;7;8;9;10;11;12;13
0.00637943;0.0024377;0.002886301;0.002778904;0.002946823;0.002838171;0.002770637;0.002622638;0.002856028;0.002537681;0.00255561;0.002487233;0.002146999
0.0024377;0.00415616;0.002433345;0.002351268;0.002458734;0.002380952;0.002336668;0.002236751;0.002394531;0.00216121;0.002154286;0.002106064;0.001833599
0.002886301;0.002433345;0.008547963;0.002775847;0.002944872;0.002836006;0.002768091;0.002619437;0.002853843;0.002535233;0.002554425;0.00248589;0.002146813
0.002778904;0.002351268;0.002775847;0.006904053;0.002833677;0.002730875;0.002666842;0.002526631;0.002747728;0.002446701;0.002464268;0.002399566;0.002078558
0.002946823;0.002458734;0.002944872;0.002833677;0.006616912;0.002907566;0.002831662;0.002667968;0.002925934;0.002588376;0.002623247;0.002549257;0.002206778
0.002838171;0.002380952;0.002836006;0.002730875;0.002907566;0.005960534;0.002727597;0.002575064;0.002815484;0.002498016;0.00252749;0.002458182;0.002132269
0.002770637;0.002336668;0.002768091;0.002666842;0.002831662;0.002727597;0.005640847;0.002517984;0.002744417;0.002441166;0.002464452;0.002398729;0.002081791
0.002622638;0.002236751;0.002619437;0.002526631;0.002667968;0.002575064;0.002517984;0.005699309;0.002590422;0.002317134;0.002328825;0.002270449;0.001974125
0.002856028;0.002394531;0.002853843;0.002747728;0.002925934;0.002815484;0.002744417;0.002590422;0.006106574;0.002512695;0.002542513;0.002472581;0.002143676
0.002537681;0.00216121;0.002535233;0.002446701;0.002588376;0.002498016;0.002441166;0.002317134;0.002512695;0.005215452;0.002266642;0.002209638;0.001931045
0.00255561;0.002154286;0.002554425;0.002464268;0.002623247;0.00252749;0.002464452;0.002328825;0.002542513;0.002266642;0.004961079;0.002238607;0.001963689
0.002487233;0.002106064;0.00248589;0.002399566;0.002549257;0.002458182;0.002398729;0.002270449;0.002472581;0.002209638;0.002238607;0.004467023;0.001916122
0.002146999;0.001833599;0.002146813;0.002078558;0.002206778;0.002132269;0.002081791;0.001974125;0.002143676;0.001931045;0.001963689;0.001916122;0.00323122
